,Answer,End,Start,TextTitle,Titles,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
558,Currently in the book Cinder the setting is taking place in a jail cell in the castle. The cell is described as an all white room with grates and a door. If the setting changed Cinder would most likely die because she just found out that she is Princess Selene and the lunar queen can't have any heirs in line for throne. The plot would be so much less captivating and there would be no point of writing the book in my personal opinion. This is because if Cinder dies then the idea of a happy ending would be useless making this book less like Cinderella.,[28],[22],Cinder,['Cinder'],558,558.0,558.0
559,"I enjoy graphic novels, and Raina's are over the top. After I read this book, I immediately bought it, and I can't stop reading it! It is not a difficult book to read, and I would definitely recommend you to read Smile and other novels by Raina!",[218],[212],Smile,[' Smile'],559,559.0,559.0
560,I would love to be friends with Andy from the book tears of a tiger. I would like to be his friend because he may not of pulled the trigger and I could of helped. The only reason i am not to sure of being his friend because of the car crash.,[67],[51],Tears of a Tiger,['tears of a tiger'],560,560.0,560.0
561,i chose Diary of a wimpy kid Rodrick rules because the chapter book that i read was diary of a wimpy kid Rodrick rules.,"[42, 118]","[8, 84]",Diary of a Wimpy Kid: Rodrick Rules,"['Diary of a wimpy kid Rodrick rules', 'diary of a wimpy kid Rodrick rules']",561,561.0,561.0
562,a detail I remember is when the adults word were talking about back in the day . It connects the book because the book is Diary of a Wimpy Kid old school.,[153],[122],Diary of a Wimpy Kid: Old School (Book #10) by Jeff Kinney (2015-11-03),['Diary of a Wimpy Kid old school'],562,562.0,562.0
563,My Dad has already read all of the Percy Jackson books to me. He has also read The Lost Hero to me. I did not feel like I was missing anything. I already knew what would happen in the story.,[92],[79],The Lost Hero,['The Lost Hero'],563,563.0,563.0
564,My favorite person in Sisters is Raina because she is adventurous and acts just like me. The scene when Raina and her sister are fighting at the dinner table would be really different if Raina was not there. Everyone would be so joyful. Her family would have had a great dinner.,[29],[22],Sisters,['Sisters'],564,564.0,564.0
565,Lois Lowry in 'The Giver' highlights the importance of memory in human life and how it is important to value individuality. Who knew that the perfect society really wouldn't be perfect :/,[24],[15],The Giver,['The Giver'],565,565.0,565.0
566,"I am doing Katniss Everdeen from The Hunger Games.
Kind,
Adventurous,
Talented,
Normal,
Irritated,
Serious,
Shy.

That was my acrostic poem!",[49],[33],The Hunger Games,['The Hunger Games'],566,566.0,566.0
567,"I have read deep,Dark and Dangerous. Deep, Dark and Dangerous is about a young girl who drowned  and All The Lovely Bad Ones is about a evil women who ruled and owned a poor farm and treated the workers horribly. They are alike  because they were both have people murdered. Most of the people who have died in the book are too young. These  books are terrifyingly  awesome.",[124],[101],All the Lovely Bad Ones,['All The Lovely Bad Ones'],567,567.0,567.0
568,"Squish is a beloved friend of many like Pod or Peggy and loves comics.He also loves I mean loves to play ball and other outdoor games.The theme,plot ,and settings are insane and funny so you should read SQUISH POD VS. POD NO.8",[221],[210],Pod vs. Pod,['POD VS. POD'],568,568.0,568.0
569,"The title of this book, ""Hoot"", is a good title because in the book it talks mainly about owls. Owls make a hoot sound, right? Another title for this book could be ""The Running Boy.""  However, ""Hoot"" sounds like a book someone would want to read.",[29],[25],Hoot,['Hoot'],569,569.0,569.0
570,The book Dog Man Unleashed is a book about a police officer that has the emotions and head of a dog. With a human body and a dog head they have pros and cons. Dog man doesn't listen to rules much and he is super hyper. If you adore weird comic book's this is a book for you.,[26],[9],Dog Man Unleashed,['Dog Man Unleashed'],570,570.0,570.0
571,"The word ""asylum"" confuses me. It confuses me because reading Anne of Green Gables is my first time seeing this word. Another reason is because ""asylum"" is not a common word you would hear someone say very often. But my guess is that ""asylum"" is an old fashioned word for orphanage. These are the reasons why the word asylum confuses me.",[82],[62],"Anne of Green Gables (Anne of Green Gables, #1)",['Anne of Green Gables'],571,571.0,571.0
572,"I would be friends with all of the characters in Harry Potter, like Ron Weasley, Hermione Granger, that are kind and respectful because they all have different qualities that are wonderful. And they are the kind of people I'll be around.",[61],[49],Harry Potter and the Sorcerer's Stone,['Harry Potter'],572,572.0,572.0
573,One part of Have You Filled a Bucket Today was the part where it lists ways to fill buckets over and over. It bored me because it was repetitive and unnecessary. One part I could not stop reading was the ways you can be a bucket dipper. This was interesting because some of them were situations we don't even realize are happening on a daily basis.,[42],[12],Have You Filled a Bucket Today?: A Guide to Daily Happiness for Kids,['Have You Filled a Bucket Today'],573,573.0,573.0
574,"The book Sisters is a book i would recommend to people who would enjoy to read but now take too much time finishing it. It is a non-challenge read but is a book that I would recommend reading because of what it is about, It has a message that I believe readers of all ages will understand.",[16],[9],Sisters,['Sisters'],574,574.0,574.0
575,I would rather  live in the text im reading now because Freak The Might is a creative book and all because they talk about how they go on adventures and fight dragons and act like they are knights but the book i'm reading now talks about a girl crushing on a guy that has a leg brace and she has to walk him from school everyday and he was a super popular kid before he got a leg brace and the girl was not ever popular but her sister is the center of attention.,[71],[56],Freak the Mighty,['Freak The Might'],575,575.0,575.0
576,"I would rather be friends with Harry Potter than a main character  in the last book I read because the last book  was about the Boston tea party. And because Harry Potter is a nice, not shy person and i am a lot like him. Also if I got to choose I wouldn't choose living in the 1700's. So the Harry Potter and the Sorcerer's stone helped me feel a connection with some of the characters in the book.",[330],[293],Harry Potter and the Sorcerer's Stone,"[""Harry Potter and the Sorcerer's stone""]",576,576.0,576.0
577,"Catching Fire
Think about another text you have read on a similar topic, and compare the two texts. How are they alike and different? Change",[13],[0],Catching Fire,['Catching Fire'],577,577.0,577.0
578,"I believe that SMILE is a  good title for this book because this book is all about Raina's teeth and how it, at times,  is difficult to smile. Another title could MAYBE be FRIENDS because it's all about friends, too. Raina has some friends that are super  unkind to her and some are kind.",[20],[15],Smile,['SMILE'],578,578.0,578.0
579,Hello my name is Sara and i read THE CHOCOLATE TOUCH in this book this boy LOVED candy but his MOM no but he still loved candy.I liked when the boy came to store and found candy and the manager know his name. John did not have enough money but the manager gave him canny anyway. This is kindness.,[53],[33],The Chocolate Touch,['THE CHOCOLATE TOUCH '],579,579.0,579.0
580,Sorry for everybody that loves EL Deafo  i'm about to break your heart but i've never read El Deafo im planing on reading it but for know i'm just gonna stick with other books,[99],[91],El Deafo,['El Deafo'],580,580.0,580.0
581,"I would DEFINITELY LOVE to live in the world of the book that I am reading now, Heroes of Olympus: The House of Hades, because being a Demigod is one of my biggest dreams (even though it will not happen ever). Demigods have crazy super powers, like, controlling water or being able to fly. I also feel like I am quite expert at sword fighting so I feel it would be awesome to fight monsters and destroy all the evil things.",[118],[99],The House of Hades,"['The House of Hades,']",581,581.0,581.0
582,"I have read a book called Tuck Everlasting. In the book, a family drank water that made them immortal. And in a way, Tuesdays with Morrie and Tuck Everlasting are similar. Morrie was going to die and he contemplated his life over and over in his mind. And in Tuck Everlasting, the family never dies and they so wish they could live a normal life and so they too think about their lives over and over in their minds. They are different because Morrie is going to die and the family Tuck Everlasting never dies.",[137],[117],Tuesdays with Morrie,['Tuesdays with Morrie'],582,582.0,582.0
583,"I would give this book five stars because it's totally extremely good. 
Are you having a hard time finding a good book, if yes then you need to read ""Tales of a Fourth Grade Nothing"" by Judy Blume. You will get so hooked to the book that you won't be able to put it down. See you at the library.",[182],[149],Tales of a Fourth Grade Nothing,"['""Tales of a Fourth Grade Nothing""']",583,583.0,583.0
584,The book Frindle was about a boy who wanted to create a word. Another book by the author was about twins who took turns going to school. The books are the same because they were written by the same author. They differ by the theme.,[16],[8],Frindle,[' Frindle'],584,584.0,584.0
585,Leigh Botts is the main character in Dear Mr Henshaw. Leigh Botts reminds me of Martin Luther King Jr because  they both had an idea and did not give up until they succeeded. They both were very headstrong with their ideas. Both Leigh Botts and Martin Luther Kind Jr  both accomplished their dreams in the way they wanted to.,[52],[37],Dear Mr. Henshaw,['Dear Mr Henshaw'],585,585.0,585.0
586,I would kindly be friends with the main character in ice dogs because.The dogs coach is the owner to so if i was friends with the main character i could play with them.Second my favorite animal is dogs also i like racing so me and the dogs have something in common already.Also i know it will be a new experience for me.,[61],[53],Ice Dogs,['ice dogs'],586,586.0,586.0
587,The Sisters part of the text is literally and not figuratively because the main character actuly has a sister instead of figuratively a sister.,[11],[4],Sisters,['Sisters'],587,587.0,587.0
588,"""Brian's Winter,"" is another text like ""Holes"" because the  main character in each story is a boy that goes on a troubling adventure through nature.Both stories have many differences and similarities.One difference is they both take place in different settings.""Brian's Winter"" takes place in the Northern part of Kansas and ""Holes'' takes place in Texas.One similarity is they both have to survive in the wilderness.These are to very good books with many differences and similarities.","[45, 331]","[40, 326]",Holes,"['Holes', 'Holes']",588,588.0,588.0
589,Another book I have read is Diary Of A Wimpy Kid Rodrick Rules. And they are the same by having similar characters and similar places. They are different by having different events and a few new characters.,[48],[28],Diary of a Wimpy Kid,['Diary Of A Wimpy Kid'],589,589.0,589.0
590,"The part of crash that had me on the hedge of me set is when crash said ""I'm the answer to all of your dreams baby"" to Jane i thought she would dance with him and the would be girlfriend and boyfriend. But as it turns out they didn't even dance together.",[17],[12],Crash,['crash'],590,590.0,590.0
591,"Airman is an awesome title for this book because Conor build a aircraft glider and is an airman, and Conor tell's his story . A new title I would name it would be (Conor Brokeheart's Story) because the author is telling a story about Conor.","[6, 95]","[0, 88]",Airman,"['Airman', ' airman']",591,591.0,591.0
592,"Hagrid gets extraordinarily crazy furious when he discovers the Dursley's have not told Harry the truth about being a wizard or about what happened to his parents.  On page 42 in Harry Potter and the Sorcerer's Stone it states, ""All what?  asked Harry.  ALL WHAT? Hagrid thundered. Now wait jus' one second.""  Hagrid was furious because Harry thought his parents were killed in a car crash and they were actually killed by ""you know who"".",[216],[179],Harry Potter and the Sorcerer's Stone,"[""Harry Potter and the Sorcerer's Stone""]",592,592.0,592.0
593,The enemy or rival would probably discuss rude things about the main character. I wouldn't be surprised if someone pointed out that someone named Bonnie from the book drama was not the nicest. Actually one of the main characters  taught her after school and during lunch so she sort of got to learn about both science and him. She's not the girl you you enjoy being around.,[172],[167],Drama,['drama'],593,593.0,593.0
594,thunder rose because she talks when she's first born they were saying stuff like the book John Henry,[100],[90],John Henry,['John Henry'],594,594.0,594.0
595,"Although Princess Academy took place in Mount Eskel, Danland (imaginary place), it would be more interesting if the girls were trapped in the castle when they were in the princess academy.  They would have to find the key to find a way out secretly so they don't get punished by Olana.  Being stuck in the Princess Academy would make the plot much more interesting because Miri and the other girls will be in fear.  Nobody can come and rescue them, so they can only depend on themselves.",[25],[8],Princess Academy,[' Princess Academy'],595,595.0,595.0
596,Snot Stew is about two cats that are mischievously naughty and Bunicula is about three pets and one is a naughty one that affects the family the difference in between the two books is that Snot Stewart is about a normal family that adopts two kittens that are living their wonders and Bunicula is about a vampire rabbit that rotten all the vegetables in the pantry of the family.,[9],[0],Snot Stew,['Snot Stew'],596,596.0,596.0
597,Another text I read was Diary of a fly they are alike because they both dates and it express their feelings. They are different because one is a human and one is a fly and Diary of a wimpy kid is bigger than Diary of a fly. Another way their different is because their friends one is a spider and one is a human,[192],[172],Diary of a Wimpy Kid,['Diary of a wimpy kid'],597,597.0,597.0
598,"I think Brian's dad makes him happy because in the story ""Hatchet"" Brian's dad would never make him depressed. Brian's dad would make the time happy makes him happy because Brian's mom and dad got into a fight and had a divorce, Brian's mom is not as nice to Brian.  Brian tries not to think about the divorce but it keeps echoing in his head.",[67],[56],Hatchet,"[' ""Hatchet"" ']",598,598.0,598.0
599,Smile is another book that is the same as Sisters. Thee sisters do not get along. I read them long time ago while I was in 3rd grade. There are book that are same as smile and sisters or other comic that will talk about sisters. Enjoy reading it!,[49],[42],Sisters,['Sisters'],599,599.0,599.0
600,There are other diary of a wimpy kid series and they have the same characters as always and the story's aren't as close the same setting but there close enough. I know that there might be more books like that (lets hope they aren't some cheap copy.) The Long Haul was probably my favorite diary of a wimpy kid book! There all pretty awesome though! My favorite character this Greg.,[263],[250],Diary of a Wimpy Kid: The Long Haul,['The Long Haul'],600,600.0,600.0
601,"Harry Potter is good if you read the other books first. In this book Lord Voldamort is back. He is the strongest wizard, but Harry is stronger. He almost kills Harry, but Harry escapes first.",[12],[0],Harry Potter and the Goblet of Fire,['Harry Potter'],601,601.0,601.0
602,Judy saved all the missing mammels and she was the best officer in the world of zootopia,[],[],Zootopia,[],602,602.0,602.0
603,When I read the Hinden Burg disaster I noticed that it has a lot of action an exspreshion in the story it made the charters stand out and show who they are. I would recomend this book to anyone.,[36],[12],"I Survived the Hindenburg Disaster, 1937",['the Hinden Burg disaster'],603,603.0,603.0
604,The book Holes and this other book called Bailey's Story they had a connection because in holes the main character Stanley did not have a good relationship with his father and in Bailey's Story Ethan did not have a good relationship with Todd a boy who for some reason didn't like Ethan. And both have a connection because they both have someone that they don't like,"[14, 95]","[9, 90]",Holes,"['Holes', 'holes']",604,604.0,604.0
605,I would manly talk about the book cover that says smile.Smile is about a girl who lost her two front teeth an had to go to the dentice often and her mouth all ways hurts.,[61],[56],Smile,['Smile'],605,605.0,605.0
606,Once I Ate A Pie is different then Super Fly Guy because Once I Ate A Pie is about dogs and their personality's . Super Fly Guy is about a fly getting a lunch lady fired then then got her rehired .They are similar because they are about animals and it shows who they are.,"[48, 127]","[35, 114]",Super Fly Guy,"['Super Fly Guy', 'Super Fly Guy']",606,606.0,606.0
607,Board Rebel is about a kid that had to move because his dad got a promotion. Board Rebel and Paintball Problems are alike because they both have parties and bullies. Paintball Problems show you not to give up.,"[11, 88]","[0, 77]",Board Rebel,"['Board Rebel', 'Board Rebel']",607,607.0,607.0
608,"The thing that surprised me most in Charlie in the Chocalate Factory is when Mr. Willy Wonka gave away his Chocolate Factory to Charlie and his family.I was very, very surprised because Charlie is just a little child and it is a big responsibility for Charlie.I thought Mr. Willy Wonka was just going to congratulate Charlie for surviving",[68],[36],Charlie and the Chocolate Factory,['Charlie in the Chocalate Factory'],608,608.0,608.0
609,"The book, The Shadow Throne by Jennifer A. Neilson, is the third      
book of the Assendance Triology. I would reccomend you to read this book because it is very interesting and has lots of details so you will always know what is happening in the story. This book is an adventure book and for me, the level would be just right. (Please keep in mind I read this book during the summer.)",[27],[10],The Shadow Throne,['The Shadow Throne'],609,609.0,609.0
610,The title for the book is a good title because the book is mostly about holes. A new title for this book could be The Adventures of Stanley because it was mostly about Stanley.,[77],[71],Holes,[' holes'],610,610.0,610.0
611,I read fever 1793 and I learned that people had yellow fever. I learned that they tried to help the people by drawing blood from them. I learned that bleeding them made them die. I learned a lot from the book because it taught me about yellow fever in a entertaining way.,[18],[7],Fever 1793,['fever 1793 '],611,611.0,611.0
612,"The part of Home of the Brave that frustrated me the most was when Lois had to sell her farm. This was frustrating because Kek and Ganwar had finally found something that made them feel more at home in America, and it was being taken away from them. I was hoping that there would have been a way for Kek's family to get the farm so they could continue to take care of it and maybe get more animals.",[29],[11],Home of the Brave,[' Home of the Brave'],612,612.0,612.0
613,"The Ghost And Mrs. Hobbs is a good title, but i think The Trickster would be a good title because at the ending they figure out that Walker (the ghost) was pretending Mrs Hobbs killed him.",[24],[0],The Ghost and Mrs. Hobbs,['The Ghost And Mrs. Hobbs'],613,613.0,613.0
614,"The title ""PollyAnna"" is a good title about the girl that changes peoples lives. But ""The Girl And Her Game"" is also a good title  because the book is also about Pollyanna and her game. The game she refused to tell her aunt because it was made by her father and Aunt Polly refused for Pollyanna to talk about her father. So, the poor girl doesn't speak to her aunt about the game. This would make it good for another title. ""The Secret From Her Aunt.""",[20],[11],"Pollyanna (Pollyanna, #1)",['PollyAnna'],614,614.0,614.0
615,Charlotte´s Web is similar because there is a spider named Charlotte and there is a pig named Wilbur and Charlotte saved Wilbur´s life but Charlotte died when she saved his life so it is similar because an animal died in both and they were both loved and they are not similar because in Charlotte´s web a spider dies but in The Tiger Rising a tiger dies and the tiger got shot but the spider died from exhaustion.,[340],[324],The Tiger Rising,['The Tiger Rising'],615,615.0,615.0
616,This book is super fantastic going on to page 300 soon I just fancy to inform everyone who isn't reading it to read it because I've asked a ton of people if they like it and they do so read it. Harry Potter is fantastic.,[206],[194],Harry Potter and the Order of the Phoenix,['Harry Potter'],616,616.0,616.0
617,This author write about things in nature.  Stellaluna was about bats and her other book is about snakes.,[53],[43],Stellaluna,['Stellaluna'],617,617.0,617.0
618,before i read smile i heard it was a really awesome book some then i started reading the same books from the same author,[19],[14],Smile,['smile'],618,618.0,618.0
619,In Harry Potter And The Order Of The Phoenix Harry has to go to a trail  to see if he can go back to hogwarts because he go kicked out,[44],[3],Harry Potter and the Order of the Phoenix,['Harry Potter And The Order Of The Phoenix'],619,619.0,619.0
620,The Cat in the Hat reminds me of the book called The Cat in the Hat comes back.  He comes again and makes a mess again.,[18],[0],The Cat in the Hat,['The Cat in the Hat'],620,620.0,620.0
621,I would rather be in one of the Twilight books because I would love to be friends with the characters in them. The reason I would want to be in the series is because they have really cool life's even though it is stressful.I do not want to be in the Big Bad Bunny because I don't really know the characters that well.,[263],[247],Big Bad Bunny,['he Big Bad Bunny'],621,621.0,621.0
622,The part of the book rise of the balloon goons is when they defeat the balloon goon monster by the dad trying to poke the pinata blindfolded but accidentally pokes the balloon goon army and castle.,[46],[21],Rise of the Balloon Goons,['rise of the balloon goons'],622,622.0,622.0
623,I would enjoy being friends with the main character Kenny. This is because he is a intelligent boy and he has a lot of awesome time playing games that he made. He also seems like a kind kid. He is also is gallant because in the book he gone to the lake with the wool pooh even though Byron said not to. This is why I would be friends with the main character of Watsons Go To Birmingham.,[386],[360],The Watsons Go to Birmingham - 1963,[' Watsons Go To Birmingham.'],623,623.0,623.0
624,"In the beginning of Everything, Everything Maddie tells us that she has SCIDS which is a disorder where you are basically allergic to the outside air and world. Throughout the whole book she keeps referring to SCIDS. If the introduction was not included into the book then we would have no idea on why Maddie can't go outside or doesn't hang out with anyone except her mom. The whole story would go on with the reader being confused about the whole story.",[42],[20],"Everything, Everything","['Everything, Everything']",624,624.0,624.0
625,"Dear Raina Telgemeier, 
         Thank you for writing the book sisters. The book
gives me a different perspective on how big sisters and little sisters act or feel. The book ''Sisters'' is fun to read because it has flashbacks on how things effected the future. For example, when they take the trip to Colorado, Raina doesn't want to sit in the front because, her little sister Amara's snake, ''Mango'' lives in the bottom of the seat. That happened because of the incident that happened when Raina was younger.","[71, 184]","[64, 177]",Sisters,"['sisters', 'Sisters']",625,625.0,625.0
626,"Yes, Mr. Wormwood is an evil guy from Matilda.  He is the cause of all the trouble she has been in.  The principle would be less meaner to her if her dad haven't told her that she was a jerk.  It's evil to call your child a jerk.  He treats his son super lovely and is really evil to Matilda.  He blamed her on everything.  He even yelled at Matilda when she was late.",[45],[38],Matilda,['Matilda'],626,626.0,626.0
627,one way I would feel in the main character shoes would be mad and happy because in the beginning of the story Green Eggs and Ham the main character didn't want to try green eggs and ham but at the end Sam bade him try Green Eggs and Ham because he wouldn't stop bugging the main character to finally Try Green Eggs and Ham so the main character Friday just so Sam could stop bugging him.,[128],[110],Green Eggs and Ham,['Green Eggs and Ham'],627,627.0,627.0
628,"I don't know,because I never read another book then Stone Fox.I guess I will never know",[61],[52],Stone Fox,['Stone Fox'],628,628.0,628.0
629,"On but I would like to read more lunch lady because it's a 
fine book I  especially like lunch lady books their really terrific.",[43],[32],Lunch Lady and the Summer Camp Shakedown,[' lunch lady'],629,629.0,629.0
630,"I am so, so excited to watch Wonder when it comes out this fall.  I think Choose Kindness is the main theme of Wonder, and it really is the same theme for Sticks and Stones.  Kids need to remember the power of their words, and I think Wonder would be a great movie to watch after reading this.",[172],[155],Sticks & Stones,['Sticks and Stones'],630,630.0,630.0
631,The theme of the last straw is about a kid named Greg Heffley who is in middle school. he writes about what happens through out the school year.,[27],[13],Diary of a Wimpy Kid: The Last Straw,['the last straw'],631,631.0,631.0
632,I think others should read word after word after word because it talks about ever bodys feelings and helps envolve reading and witing.,[53],[27],Word After Word After Word,['word after word after word'],632,632.0,632.0
633,"Harry wouldn't have succeeded at the tasks he faced in The Goblet of Fire without outside assistance because he wouldn't have known about the dragons or the underwater challenge, this reveals about Harry that he needed assistance.",[73],[55],Harry Potter and the Goblet of Fire,['The Goblet of Fire'],633,633.0,633.0
634,Well you should read The City of Ember because it is about a girl name Lina and she want to see whats outside of Ember.Lina sees          her sister Poppy chewing on a paper that was inside a box she thinks that it could help her see whats outside of Ember I can't tell you any more but I can promise you will love the book.Bye I hope you enjoy The City of Ember.,"[38, 362]","[21, 345]",The City of Ember,"['The City of Ember', 'The City of Ember']",634,634.0,634.0
635,The part I remember best in 'Harry Potter and the Deathly Hallows' is the epilogue.,[65],[29],Harry Potter and the Deathly Hallows,['Harry Potter and the Deathly Hallows'],635,635.0,635.0
636,"I'm reading the selection and i think that a excellent ""business idea"" for it is that since there is a competition between a lot of girls to see who gets to marry the prince, so technically who could be the prettiest out of all, who can be the best...",[25],[12],The Selection,['the selection'],636,636.0,636.0
637,"I think the author of Freak the Mighty respects Max the most, because the author had to have made Freak die, so it means that the author more likely respects Max than Freak. If the author respected Freak than Max, then the author might have Max die, instead of Freak.",[38],[21],Freak the Mighty,[' Freak the Mighty'],637,637.0,637.0
638,"I think reading Maxi's Secrets made me a better person. I believe this because Timothy was a awesome role model to me, he was so loving and kind to Maxi. This made me a better person to my dog based on how kind Timothy was to Maxi. That made me want to be that kind to my dog cause it made me feel like a better person.",[30],[15],Maxi's Secrets:,"["" Maxi's Secrets""]",638,638.0,638.0
639,Thank you Mr. Falker. They are different because  thank you Mr. Falker is about the girl not being able to write and read and an A from Miss Keller is about Miss Keller not giving her an A.,[147],[126],An A From Miss Keller,['an A from Miss Keller'],639,639.0,639.0
640,"There is a book called The New Kid, and that kid has the same problem like the main person in the book smile, they both have the problem of feeling like they might get laughed at. And they both feel that they will not be noticed by any of the popular kids, in their mind everybody in the whole school will being laughing at them.",[108],[103],Smile,['smile'],640,640.0,640.0
641,"The text Ish reminds me of a text called The Tortoise and the Hair, the two books shares the same genre theme books. The two books are different because lsh has a theme that tells you that everything does not have to be perfect while The Tortoise and the Hair holds a theme which means that don't underestimate people.","[13, 157]","[9, 153]",Ish,"['Ish ', 'lsh ']",641,641.0,641.0
642,"In the story Charlie and the Chocolate Factory somebody named Charlie lives with his mom, dad, grandma, and grandpa. Charlie is caring and loves his family because he spent his money to buy a whole loaf of bread for his family. Charlie is grateful for what his gts for instance he got a Willy Wonka Chocolate bar for his birthday so find a golden ticket in the candy bar. Another book I have read similar to this is Charlotte's Web because Charlotte is grateful for the food she gets and she is grateful for other things other people get. It is different because Charlotte's Web is about a pig named Wilbur and a spider named Charlotte. Charlie and the Chocolate Factory is about a kid named Charlie exploring the Chocolate Factory with Willy Wonka.",[46],[13],Charlie and the Chocolate Factory,['Charlie and the Chocolate Factory'],642,642.0,642.0
643,HEY FRIEND I READ AMAZING GRACE IT WUS AMAZING,[31],[18],Amazing Grace,['AMAZING GRACE'],643,643.0,643.0
644,"i Would choose holes because it go's with the book. I would say its smarter to read the book first because if you read the book first then you know every thing that's going on. The book and the movie have many things that are the same and many things that are not like, how Mr. Sir said Dr. Pendanski in stead of Mr. Pendanski  like in the book. In the book Zero used a shovel to open the Spiced peaches insted of using the side of the boat like in the book.",[20],[15],Holes,['holes'],644,644.0,644.0
645,"I have read Diary of a wimpy kid Hard Luck which is also fiction. And also I have read the one and only Ivan. I probably like the one and only Ivan more, because it's a little more facinating then Hard Luck, and it has more of a story. out of all the story i would pick double down.","[32, 281]","[12, 270]",Diary of a Wimpy Kid: Double Down,"['Diary of a wimpy kid', 'double down']",645,645.0,645.0
646,I like Harry Potter and the chamber of secrets because Harry Potter saved Ron's  sister and risked his life doing it. And when he explained it to Dumbeldore he tried his best not to get her expelled.,[46],[7],Harry Potter and the Chamber of Secrets,['Harry Potter and the chamber of secrets'],646,646.0,646.0
647,"I have been reading Harry Potter, I am on the 6th book. I would adore living in the Magic world! You would be able to do a lot with your wand, and it would make life a lot easier, being able to do things, with out doing manual labor, even though being active is healthy. Going to the Hogwarts school would be a thriller, due to the great things you can learn!",[33],[20],Harry Potter and the Sorcerer's Stone,"['Harry Potter,']",647,647.0,647.0
648,"Harry wouldn't have succeeded at the tasks he faced in The Goblet of Fire without outside assistance because he wouldn't have known about the dragons or the underwater challenge, this reveals about Harry that he needed assistance.",[73],[55],Harry Potter and the Goblet of Fire,['The Goblet of Fire'],648,648.0,648.0
649,"This book was very interesting and held my attention quite well. The lightning Thief was about mythological monster and gods of Mount Olympus. This was about a boy named Percy Jackson, who went on a quest for the Olympians.",[85],[65],The Lightning Thief,['The lightning Thief '],649,649.0,649.0
650,Killer Pizza is about this chef that makes this pizza. One day he made the same pizza and it came out different it was talking and walking.,[12],[0],Killer Pizza (Killer Pizza #1),['Killer Pizza'],650,650.0,650.0
651,Everything that I've learned about them out of the way the main character in Spy Camp is that the music spider wants to capture him and thinks he's special even though he's not expect any feels left out a lot,[85],[76],Spy Camp,[' Spy Camp'],651,651.0,651.0
652,"The title of this text is ""The School for Good and Evil.""  After reading this book, I understood the title's deeper meaning.  While you might think that ""The School for Good and Evil"" is named after the school in the book, I think that it means that the characters in this story can choose to be good or evil.  While you may have thought that some characters are good or evil, they may have actually been the opposite.  ""The School for Good and Evil"" gives you a chance to pick your destiny:of being good or of being evil.","[55, 182, 449]","[27, 154, 422]",The School for Good and Evil,"['The School for Good and Evil', 'The School for Good and Evil', 'he School for Good and Evil']",652,652.0,652.0
653,"This book was the Combat handbook. The other was the building handbook. The building handbook was just to help you build and build more frequently in Minecraft. The combat handbook was to help you with crafting tools and weapons into battle, and to learn about monsters in Minecraft.",[33],[18],Minecraft: Combat Handbook,['Combat handbook'],653,653.0,653.0
654,"I think the movies that would be good is either James Bond or Jason Bourne because they are both about spies.  There is also adventure and mysteries in these movies.  When I read Spy school, there were parts that were mysterious, adventurous, and also, I read really cool things about spies. plus, in James Bond, there is action, and there is also action in Spy School.","[189, 368]","[179, 358]",Spy School,"['Spy school', 'Spy School']",654,654.0,654.0
655,"Eddie is the main character of Do The Funky Pickle. In the beginning of the book he was trying to impress a girl named Sunny and he often failed to do so. In the end of the book, he was still the main character and he was at the dance dancing with his best friend Pickles and he still didn't have a girl he was dancing with but he was still having a blast dancing in the middle of the circle.",[50],[31],Do The Funky Pickle,['Do The Funky Pickle'],655,655.0,655.0
656,the best movie to wash before reading The Voyage of the Dawn Treader is the movie Voyage of the Dawn Treader because it's basically the same and gives you an Insight on the book.,[68],[38],The Voyage of the Dawn Treader: Aboard the Dawn Treader,['The Voyage of the Dawn Treader'],656,656.0,656.0
657,I think 10 and up should read Penny From Heaven because some of the things the author explained and put in the book. Close to the  the author put a thing in the last part of the . She had pennyś arm got caught  in a drainer for laundry.,[47],[30],Penny from Heaven,['Penny From Heaven'],657,657.0,657.0
658,Currently in the book Cinder the setting is taking place in a jail cell in the castle. The cell is described as an all white room with grates and a door. If the setting changed Cinder would most likely die because she just found out that she is Princess Selene and the lunar queen can't have any heirs in line for throne. The plot would be so much less captivating and there would be no point of writing the book in my personal opinion. This is because if Cinder dies then the idea of a happy ending would be useless making this book less like Cinderella.,[28],[22],Cinder,['Cinder'],658,658.0,658.0
659,Magic Tree House book I like because Jack and Annie use the book to get out of trouble for that what is coming and they also do the best to get out of trouble with the book.They are different because the book that they use to go into the world they use to do different adventures.,[16],[0],Magic Tree House: #1-2,['Magic Tree House'],659,659.0,659.0
660,"The book ""Holes"" is the same as ""The Son Of Neptune""because they both are to find things  that they wanted then to find something like a treasure chests and a eagle on a staff also they both are boy.They are different because one had to dig and on had to kill and fly to it.",[15],[10],Holes,['Holes'],660,660.0,660.0
661,"I loved the pictures in the book. The pictures made me understand the story more, because the pictures are giving you information about the place or what they're doing. Smile has a ton of photos, I enjoy it because it help me understand it.",[174],[169],Smile,['Smile'],661,661.0,661.0
